 IBU PEJABAT POLIS KONTINJEN MELAKA;;JALAN AYER KEROH LAMA, BUKIT BERUANG;75450;MELAKA
ACME COMMERCE SDN BHD;03-27142263;VO2-07-07, LINGKARAN SV, SUNWAY VELOCITY, JALAN PEEL,KUALA LUMPUR;55100;KUALA LUMPUR
AJIYA BHD;03-80623939;6 JALAN PPU 3, TAMAN PERINDUSTRIAN PUCHONG UTAMAPUCHONG;47100;SELANGOR
AKADEMI AL QURAN AR RAYYAN;019-4438382;PASAR SENTUL;51100;KUALA LUMPUR
AKADEMI PEMBANGUNAN INSAN PROFESIONAL SDN BHD;09-7473800;PT 401, BANDAR BARU TUNJONG,JALAN KUALA KRAI,;16010;KELANTAN
AL HIJRAH MEDIA CORPORATION;+60 3-2260 1600;KOMPLEKS PUSAT ISLAM MALAYSIA, TASIK PERDANAKUALA LUMPUR;50480;KUALA LUMPUR
AL WASI ENTERPRISE;06-3320414;"
NO 17, JLN MJ 17,TAMAN MERDEKA JAYA";75350;MELAKA
AMTIS SOLUTION SDN. BHD.;06-2326663;NO. 5, JALAN TU 40, BUSINESS PARK @ MITC TAMAN TASIK UTAMA AYER KEROH;75450;MELAKA
ANEKA BENA M.N. SDN. BHD.;;NO. 29, 29-1 & 31, 31-1, JALAN TU 40, TAMAN TASIK UTAMA,AYER KEROH;75450;MELAKA
AN-NABAWI STUDIO;355237378;NO.2, JALAN JEJALA 8/11 SEKSYEN 8,SHAH ALAM;40000;SELANGOR
ASH ASIA;193252937;C-3-10, CENTRIO PANTAI HILLPARK, JALAN PANTAI MURNI,BANGSAR SOUTH;59200;KUALA LUMPUR
ASTRO;03-27226525;ALL ASIA BROADCAST CENTRE TECHNOLOGY PARK MALAYSIA, BUKIT JALIL WILAYAH PERSEKUTUAN;57000;KUALA LUMPUR
ATOS SERVICES MALAYSIA;+603-8316 0282;GROUND FLOOR, 2310 CENTURY SQUARE, JALAN USAHAWAN,CYBERJAYA;63000;SELANGOR
AUTO KINETICS (M) SDN. BHD.;6049175890;125 JALAN MASJID JITRA;6000;KEDAH
AVERIS SDN. BHD.;+60 3-2785 8888;LEVEL 5, TOWER 2, AVENUE 5, BANGSAR SOUTH CITY NO.8 JALAN KERINCHI,BANGSAR;59200;KUALA LUMPUR
